Type,Price,Price Category,Bedrooms,Bathrooms,Area,Area Category,Furnished,Level,Payment_Option,Delivery_Term,City
Apartment,8500000,Greater Than Q3 ( 4100000 ) ,4,3,405,Greater Than Q3 (  200  ) ,No,11,Cash,Finished,Maadi
Apartment,8500000,Greater Than Q3 ( 4100000 ) ,3,3,235,Greater Than Q3 (  200  ) ,No,1,Cash,Finished,New Giza
Apartment,650000,Less Than or Equal to Q1 ( 1200000 ) ,3,1,125,Less Than or Equal to Q1 ( 127  ) ,No,4,Cash,Finished,Nakheel
Apartment,2500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,205,Greater Than Q3 (  200  ) ,No,5,Cash,Finished,Heliopolis
Apartment,2364000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,187,Between Q2(  160  )  and Q3 (  200  ) ,No,3,Cash,Semi Finished,New Cairo - El Tagamoa
Penthouse,2200000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,167,Between Q2(  160  )  and Q3 (  200  ) ,No,3,Cash or Installment,Semi Finished,Mountain View Chillout Park
Apartment,2600000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,200,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,3500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,165,Between Q2(  160  )  and Q3 (  200  ) ,No,5,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,1100000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,205,Greater Than Q3 (  200  ) ,No,1,Cash or Installment,Not Finished,Badr City
Apartment,622000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,153,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash or Installment,Finished,Karma Kay
Apartment,600000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,70,Less Than or Equal to Q1 ( 127  ) ,No,12,Installment,Finished,Sidi Beshr
Apartment,2300000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,186,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash,Semi Finished,Sheikh Zayed
Apartment,385000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,120,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash or Installment,Finished,Nakheel
Apartment,1236000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,1,1,60,Less Than or Equal to Q1 ( 127  ) ,No,13,Cash or Installment,Semi Finished,Kenz
Apartment,1500000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,200,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,1650000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,2,135,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,12,Cash,Finished,New Cairo - El Tagamoa
Apartment,2000000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,178,Between Q2(  160  )  and Q3 (  200  ) ,No,1,Cash,Semi Finished,Ashgar City
Apartment,3400000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,2,2,118,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash,Finished,Smoha
Apartment,3000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,4,3,225,Greater Than Q3 (  200  ) ,No,3,Cash or Installment,Semi Finished,Isola
Apartment,6600000,Greater Than Q3 ( 4100000 ) ,3,3,180,Between Q2(  160  )  and Q3 (  200  ) ,No,5,Cash,Finished,Rehab City
Apartment,870000,Less Than or Equal to Q1 ( 1200000 ) ,3,3,126,Less Than or Equal to Q1 ( 127  ) ,No,5,Cash,Finished,Madinaty
Apartment,3500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,169,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash,Semi Finished,Sarai
Apartment,3714800,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,148,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,6,Installment,Finished,Murooj
Apartment,5000000,Greater Than Q3 ( 4100000 ) ,2,2,133,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash or Installment,Not Finished,Galleria Moon Valley
Studio,550000,Less Than or Equal to Q1 ( 1200000 ) ,1,1,56,Less Than or Equal to Q1 ( 127  ) ,No,12,Installment,Finished,Madinaty
Apartment,1100000,Less Than or Equal to Q1 ( 1200000 ) ,5,2,180,Between Q2(  160  )  and Q3 (  200  ) ,No,10,Cash,Finished,Agami
Apartment,7200000,Greater Than Q3 ( 4100000 ) ,4,3,420,Greater Than Q3 (  200  ) ,Yes,5,Cash,Finished,Dokki
